01;2652;1073
02;1206;1791
03;6092;1227
04;2212;782
05;2307;301
06;6961;1372
07;1898;847
08;1049;894
09;1347;802
10;1436;1569
11;1626;1652
12;1029;11
13;5296;1949
14;3038;1460
15;1447;1
16;1341;1171
17;2329;3851
18;23465;2502
19;1279;1406
21;2307;425
22;1541;4452
23;1284;1193
24;1860;2788
25;1755;202
26;2215;1515
27;1676;420
28;1662;2915
29;14990;3107
2A;5328;191
2B;0;0
30;17338;4153
31;2695;2790
32;1502;1090
33;3233;9521
34;9307;3900
35;1999;4463
36;1121;1252
37;1977;3383
38;2734;516
39;1442;64
40;2378;1652
41;1525;2556
42;1987;2453
43;1345;179
44;2740;8026
45;1711;4235
46;1446;297
47;1562;2822
48;1521;48
49;1564;4522
50;1529;3730
51;1780;2311
52;907;733
53;1312;2177
54;1596;2331
55;940;334
56;1995;4974
58;1022;1601
59;2132;8826
60;2242;3961
61;1192;221
62;1727;4278
63;1586;2062
64;3755;50
65;1408;400
66;2117;562
69;3844;1693
70;1122;1246
71;1280;1250
72;2171;3834
73;2757;350
74;4323;890
76;2055;5683
77;3053;6949
78;5394;5055
79;1242;1562
80;1507;2913
81;1465;1268
82;1651;1852
83;4593;3348
84;3808;38
85;1868;4896
86;1843;2420
87;1341;2502
88;1149;2046
89;1225;1869
90;1551;119
91;4512;4189
92;9613;1110
93;6057;2087
94;5129;2055
95;3664;3625
971;1928;23
972;4348;269
973;12219;333
974;2695;104
75;29210;56
